fighter_id,name,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,last_updated
25,Jens Pulver,25,15,1,0,"5' 7""",145 lbs.,70,Southpaw,"Dec 06, 1974",2.12,0.37,3.13,0.56,0.22,0.33,0.63,0.3,2018-11-21 19:36:35.533749
26,Josh Pulsifer,16,7,0,0,"5' 10""",145 lbs.,70,,"Mar 16, 1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:36:37.828618
27,Hugh Pulley,6,3,0,0,"6' 0""",155 lbs.,71,,,4.47,0.63,3.27,0.57,4.0,0.66,0.69,0.0,2018-11-21 19:36:40.861514
28,Juan Puig,11,4,0,0,"5' 9""",145 lbs.,72,Orthodox,"Apr 23, 1989",4.91,0.23,7.17,0.51,0.0,0.0,0.0,0.0,2018-11-21 19:36:44.709232
29,Bubba Pugh,3,3,0,0,"5' 10""",185 lbs.,75,,,2.87,0.67,2.6,0.23,4.0,0.57,0.8,0.0,2018-11-21 19:36:47.390089
30,Claudio Puelles,9,2,0,0,"5' 11""",155 lbs.,72,Southpaw,"Apr 21, 1996",2.33,0.38,6.53,0.49,2.33,0.23,0.0,0.8,2018-11-21 19:36:52.163314
31,Lucie Pudilova,8,3,0,0,"5' 8""",135 lbs.,67,Orthodox,"Jun 13, 1994",5.53,0.39,5.03,0.53,0.0,0.0,0.78,0.5,2018-11-21 19:36:54.111154
32,Daniel Puder,8,0,0,0,"6' 3""",235 lbs.,77,Orthodox,"Oct 09, 1981",2.77,0.68,1.17,0.38,1.21,0.5,0.81,9.0,2018-11-21 19:36:57.205839
33,Cole Province,6,2,0,1,"5' 9""",145 lbs.,68,Orthodox,"Jan 17, 1981",1.47,0.44,2.72,0.43,2.4,0.5,0.83,1.0,2018-11-21 19:37:02.056876
34,Joe Proctor,11,5,0,0,"5' 10""",155 lbs.,72,Orthodox,"Aug 10, 1985",3.39,0.36,3.93,0.59,0.0,0.0,0.7,1.8,2018-11-21 19:37:06.186839
35,Brent Primus,8,0,0,0,"5' 10""",155 lbs.,71,,"Apr 12, 1985",1.73,0.39,2.27,0.59,5.0,0.38,0.0,2.0,2018-11-21 19:37:08.487691
36,Shane Primm,6,5,0,0,"6' 3""",205 lbs.,76,Orthodox,"Jul 30, 1984",0.83,0.26,2.25,0.62,1.78,0.2,0.0,0.0,2018-11-21 19:37:12.736339
37,Niko Price,12,2,0,1,"6' 0""",170 lbs.,76,Orthodox,"Sep 29, 1989",2.5,0.29,4.04,0.56,1.44,0.28,0.75,1.8,2018-11-21 19:37:17.204422
38,Chris Price,18,3,0,0,"6' 2""",185 lbs.,75,Southpaw,"Nov 09, 1982",1.44,0.66,2.59,0.48,0.0,0.0,0.33,2.2,2018-11-21 19:37:20.854668
39,Dorian Price,8,4,0,0,"6' 3""",170 lbs.,73,Southpaw,"Aug 20, 1977",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:37:24.730293
40,Philip Preece,10,14,0,0,"5' 8""",205 lbs.,76,Orthodox,,0.8,0.72,0.7,0.63,0.0,0.0,0.0,0.0,2018-11-21 19:37:29.056728
41,Michel Prazeres,26,2,0,0,"5' 6""",170 lbs.,67,Orthodox,"Jul 25, 1981",2.59,0.47,2.32,0.6,4.22,0.38,0.47,0.7,2018-11-21 19:37:33.625521
42,Carlo Prater,30,12,1,0,"5' 11""",155 lbs.,72,Switch,"Jun 25, 1981",2.03,0.47,4.07,0.35,0.43,0.09,0.57,1.7,2018-11-21 19:37:36.832949
43,Trevor Prangley,23,8,1,0,"6' 1""",185 lbs.,75,Orthodox,"Aug 24, 1972",2.59,0.6,2.02,0.48,3.38,0.55,0.74,1.0,2018-11-21 19:37:41.588243
44,Wagner Prado,8,2,0,1,"6' 0""",205 lbs.,74,Southpaw,"Dec 30, 1986",1.72,0.4,3.06,0.5,0.0,0.0,0.22,0.0,2018-11-21 19:37:42.861261
45,Marcin Prachnio,13,4,0,0,"6' 3""",205 lbs.,74,Orthodox,"Jul 14, 1988",2.39,0.39,2.92,0.52,0.0,0.0,0.0,0.0,2018-11-21 19:37:46.609436
46,Devin Powell,9,4,0,0,"6' 0""",155 lbs.,73,Orthodox,"Mar 01, 1988",2.88,0.41,3.67,0.51,0.0,0.0,0.0,0.6,2018-11-21 19:37:51.057549
47,Ruan Potts,8,4,0,0,"6' 2""",247 lbs.,75,Orthodox,"Feb 23, 1978",0.85,0.37,5.92,0.22,0.75,0.16,0.33,2.3,2018-11-21 19:37:54.688247
48,Parker Porter,6,4,0,0,,260 lbs.,77,,,8.54,0.47,6.37,0.64,1.91,1.0,0.0,1.9,2018-11-21 19:37:58.654495
49,Felipe Portela,7,1,0,0,,170 lbs.,73,,"Nov 23, 1987",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:38:03.222915
50,Santiago Ponzinibbio,28,3,0,0,"6' 0""",170 lbs.,73,Orthodox,"Sep 26, 1986",4.27,0.39,4.02,0.64,0.54,0.44,0.6,0.0,2018-11-21 19:38:07.250064
51,Mike Polchlopek,1,1,0,0,"6' 4""",285 lbs.,77,Orthodox,"Dec 27, 1965",2.0,0.38,1.33,0.57,0.0,0.0,0.0,0.0,2018-11-21 19:38:10.569577
52,Brandon Polcare,1,1,0,0,,125 lbs.,67,,,0.43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:38:14.89737
53,John Polakowski,2,2,0,0,"5' 10""",155 lbs.,71,Orthodox,"Jun 21, 1981",0.14,0.04,2.05,0.44,0.0,0.0,0.75,2.0,2018-11-21 19:38:19.217275
54,Igor Pokrajac,28,13,0,1,"6' 0""",205 lbs.,76,Orthodox,"Jan 02, 1979",2.25,0.45,4.26,0.4,0.87,0.29,0.51,0.2,2018-11-21 19:38:22.190684
55,Dustin Poirier,24,5,0,1,"5' 9""",155 lbs.,72,Southpaw,"Jan 19, 1989",5.59,0.49,3.69,0.56,1.75,0.41,0.69,1.3,2018-11-21 19:38:26.087697
56,Ross Pointon,6,13,0,0,"5' 8""",170 lbs.,73,Orthodox,"Feb 18, 1980",2.62,0.23,2.77,0.58,1.19,1.0,0.0,0.0,2018-11-21 19:38:29.807354
57,Dmitry Poberezhets,24,5,1,1,"6' 3""",237 lbs.,77,,"Jun 11, 1985",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:38:33.546955
58,Maki Pitolo,10,4,0,0,"5' 10""",185 lbs.,72,Orthodox,"Nov 24, 1990",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:38:37.816105
59,Liu Pingyuan,12,5,0,0,"5' 6""",135 lbs.,72,Orthodox,"Feb 13, 1993",2.13,0.41,1.6,0.51,1.0,1.0,0.62,2.0,2018-11-21 19:38:42.215116
60,Jesus Pinedo,16,4,1,0,"5' 10""",155 lbs.,0,,"Jun 22, 1996",4.0,0.42,3.87,0.58,5.0,1.0,1.0,0.0,2018-11-21 19:38:46.438664
61,Daniel Pineda,18,11,0,0,"5' 7""",145 lbs.,69,Orthodox,"Aug 06, 1985",2.99,0.43,2.51,0.47,1.46,0.25,0.48,2.0,2018-11-21 19:38:50.827073
62,Dom Pilarte,8,1,0,0,"6' 0""",135 lbs.,74,Southpaw,"Jan 05, 1990",4.95,0.5,7.86,0.41,2.18,0.5,0.0,2.2,2018-11-21 19:38:54.232879
63,Sean Pierson,14,6,0,0,"6' 0""",170 lbs.,76,Southpaw,"Mar 10, 1976",3.84,0.39,3.73,0.64,0.39,0.18,0.66,0.4,2018-11-21 19:38:58.73772
64,Joao Pierini,4,1,0,0,"6' 1""",155 lbs.,71,Switch,"Dec 11, 1971",0.76,0.14,4.56,0.33,0.0,0.0,0.0,0.0,2018-11-21 19:39:02.476453
65,Mike Pierce,17,7,0,0,"5' 8""",170 lbs.,70,Orthodox,"Sep 01, 1980",2.62,0.42,2.36,0.62,3.08,0.42,0.71,0.2,2018-11-21 19:39:05.879528
66,Nick Piedmont,12,7,1,0,"5' 10""",145 lbs.,70,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:39:08.887023
67,Oskar Piechota,11,1,1,0,"6' 0""",185 lbs.,76,Southpaw,"Jan 24, 1990",3.58,0.57,2.83,0.58,1.12,0.5,0.25,2.8,2018-11-21 19:39:11.967712
68,Jamie Pickett,7,2,0,0,"6' 2""",185 lbs.,80,Southpaw,"Aug 29, 1988",1.02,0.41,2.64,0.45,6.1,0.4,0.0,0.0,2018-11-21 19:39:15.247964
69,Brad Pickett,26,14,0,0,"5' 6""",135 lbs.,68,Orthodox,"Sep 24, 1978",3.02,0.31,4.63,0.55,2.47,0.44,0.58,0.4,2018-11-21 19:39:19.051698
70,Vinc Pichel,11,2,0,0,"5' 10""",155 lbs.,72,Orthodox,"Nov 23, 1982",3.12,0.42,2.67,0.54,4.25,0.62,0.2,0.2,2018-11-21 19:39:22.520833
71,Adam Piccolotti,9,0,0,0,"5' 11""",155 lbs.,71,,"Oct 23, 1988",4.61,0.5,2.83,0.71,2.96,0.6,1.0,3.0,2018-11-21 19:39:24.961049
72,Nick Pica,5,1,0,0,"5' 10""",185 lbs.,75,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:39:29.155536
73,Kyler Phillips,4,0,0,0,"5' 8""",135 lbs.,68,Orthodox,"Jun 12, 1995",18.26,0.56,2.61,0.5,0.0,0.0,1.0,0.0,2018-11-21 19:39:31.758988
74,John Phillips,21,7,0,1,"5' 11""",185 lbs.,75,Southpaw,"Jun 09, 1985",0.0,0.0,2.77,0.21,0.0,0.0,0.0,0.0,2018-11-21 19:39:34.829933
75,Elizabeth Phillips,5,4,0,0,"5' 6""",135 lbs.,65,Orthodox,"Aug 20, 1986",2.6,0.33,3.07,0.58,0.75,0.25,0.53,0.2,2018-11-21 19:39:37.839062
76,Aaron Phillips,8,2,0,0,"5' 9""",135 lbs.,70,Southpaw,"Aug 05, 1989",1.87,0.59,3.33,0.4,0.0,0.0,0.35,0.5,2018-11-21 19:39:41.620503
77,Dave Phillips,7,5,0,0,"6' 0""",185 lbs.,75,Orthodox,"Jan 12, 1980",0.0,0.0,2.0,0.25,0.0,0.0,0.0,10.0,2018-11-21 19:39:44.196147
78,Wayne Phillips,5,4,0,0,,185 lbs.,75,,"Jun 17, 1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:39:47.905857
79,Costas Philippou,13,5,0,1,"5' 11""",185 lbs.,73,Orthodox,"Nov 29, 1979",2.19,0.35,2.73,0.54,0.4,0.42,0.65,0.3,2018-11-21 19:39:51.241252
80,Nam Phan,18,14,0,0,"5' 6""",135 lbs.,70,Orthodox,"Mar 13, 1983",4.52,0.37,6.55,0.59,0.18,0.18,0.6,0.2,2018-11-21 19:39:55.460846
81,Cody Pfister,12,6,1,0,"5' 10""",155 lbs.,73,Orthodox,"Jul 12, 1990",1.41,0.25,2.8,0.51,2.82,0.3,0.0,0.0,2018-11-21 19:39:59.440325
82,Dino Pezao,1,2,0,0,,205 lbs.,76,Orthodox,,0.66,0.3,3.28,0.31,0.0,0.0,0.0,0.0,2018-11-21 19:40:03.742224
83,Forrest Petz,24,9,0,0,"5' 9""",170 lbs.,71,Orthodox,"Sep 22, 1975",2.27,0.29,2.2,0.57,1.3,1.0,0.66,0.0,2018-11-21 19:40:08.290874
84,Sergio Pettis,17,4,0,0,"5' 6""",125 lbs.,69,Orthodox,"Aug 18, 1993",3.6,0.37,2.56,0.65,0.91,0.39,0.68,0.4,2018-11-21 19:40:11.850743
85,Anthony Pettis,21,8,0,0,"5' 10""",155 lbs.,72,Orthodox,"Jan 27, 1987",2.85,0.45,3.16,0.54,0.76,0.54,0.58,1.3,2018-11-21 19:40:15.918693
86,Peter Petties,5,3,0,1,"5' 11""",145 lbs.,72,Southpaw,"Dec 20, 1990",2.61,0.29,8.24,0.48,0.0,0.0,0.0,0.0,2018-11-21 19:40:18.519689
87,Seth Petruzelli,14,6,0,0,"6' 0""",205 lbs.,76,Orthodox,"Dec 03, 1979",2.17,0.41,2.08,0.55,0.46,0.5,0.47,2.3,2018-11-21 19:40:21.118055
88,Steven Peterson,17,6,0,0,"5' 10""",145 lbs.,70,Orthodox,"May 29, 1990",5.09,0.34,5.51,0.57,1.67,0.17,1.0,0.3,2018-11-21 19:40:25.296838
89,Cory Peterson,2,1,0,0,"6' 11""",400 lbs.,77,Orthodox,,2.17,0.6,6.51,0.4,0.0,0.0,0.0,0.0,2018-11-21 19:40:28.572729
90,Tommy Petersen,2,3,0,0,,155 lbs.,71,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:40:31.65878
91,Tony Petarra,2,4,1,0,"5' 11""",196 lbs.,76,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:40:35.072007
92,Leiticia Pestova,0,2,0,0,"5' 6""",135 lbs.,68,Orthodox,"Jan 15, 1984",0.0,0.0,24.62,0.44,0.0,0.0,0.0,0.0,2018-11-21 19:40:37.90972
93,Viktor Pesta,10,4,0,0,"6' 3""",240 lbs.,77,Orthodox,"Jul 15, 1990",1.58,0.36,2.54,0.56,3.29,0.28,1.0,0.0,2018-11-21 19:40:41.918252
94,Mike Perry,12,4,0,0,"5' 10""",170 lbs.,71,Orthodox,"Sep 15, 1991",4.02,0.45,4.44,0.57,0.83,0.55,0.68,0.0,2018-11-21 19:40:45.931923
95,Hernani Perpetuo,17,5,0,1,"6' 0""",170 lbs.,74,Orthodox,"May 24, 1985",2.73,0.29,4.37,0.55,0.0,0.0,0.37,0.5,2018-11-21 19:40:48.215591
96,Thiago Perpetuo,9,4,1,0,"5' 10""",170 lbs.,71,Orthodox,"Dec 14, 1987",5.39,0.69,3.51,0.51,2.82,0.5,0.66,0.0,2018-11-21 19:40:52.386293
97,Anthony Perosh,15,10,0,0,"6' 3""",205 lbs.,75,Orthodox,"Oct 05, 1972",2.27,0.43,3.77,0.53,2.03,0.22,0.33,1.1,2018-11-21 19:40:56.708769
98,Markus Perez,10,2,0,0,"6' 1""",185 lbs.,73,Orthodox,"Jun 22, 1988",2.55,0.47,4.5,0.49,1.31,0.42,0.81,1.3,2018-11-21 19:41:00.360395
99,Alex Perez,21,4,0,0,"5' 6""",125 lbs.,65,Orthodox,"Mar 21, 1992",5.25,0.46,3.08,0.61,3.68,0.43,1.0,2.1,2018-11-21 19:41:04.68547
100,Jose Perez,1,0,0,0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:41:08.332761
101,Frankie Perez,10,4,0,0,"5' 11""",155 lbs.,73,Orthodox,"May 11, 1989",1.64,0.41,2.17,0.54,1.75,0.41,0.5,0.3,2018-11-21 19:41:10.423191
102,Alejandro Perez,22,6,1,0,"5' 6""",135 lbs.,67,Orthodox,"Sep 02, 1989",3.71,0.35,2.88,0.65,0.46,0.16,0.63,0.1,2018-11-21 19:41:14.388879
103,Erik Perez,17,6,0,0,"5' 8""",135 lbs.,68,Orthodox,"Nov 19, 1989",3.16,0.4,2.09,0.66,3.16,0.55,0.69,0.2,2018-11-21 19:41:18.255828
104,Philip Perez,7,5,1,2,"5' 5""",155 lbs.,71,Southpaw,,1.36,1.0,0.68,0.66,10.23,1.0,0.0,10.2,2018-11-21 19:41:21.693472
105,Rolando Perez,6,5,2,0,"5' 8""",135 lbs.,68,Orthodox,,4.23,0.36,4.83,0.63,0.0,0.0,1.0,0.0,2018-11-21 19:41:26.875083
106,Viviane Pereira,13,2,0,0,"5' 1""",115 lbs.,63,Orthodox,"Aug 28, 1993",2.7,0.3,4.48,0.58,0.25,1.0,0.28,0.2,2018-11-21 19:41:31.037251
107,Robert Peralta,18,6,0,1,"5' 8""",145 lbs.,71,Orthodox,"Mar 14, 1986",3.76,0.44,2.97,0.53,0.59,0.66,0.65,0.0,2018-11-21 19:41:34.750624
108,Ray Perales,13,22,0,0,"5' 10""",170 lbs.,73,Orthodox,,0.18,0.25,2.39,0.32,0.0,0.0,0.33,0.0,2018-11-21 19:41:38.778086
109,Godofredo Pepey,14,6,0,0,"5' 7""",145 lbs.,73,Orthodox,"Jul 02, 1987",2.32,0.38,3.23,0.47,0.37,0.07,0.35,1.5,2018-11-21 19:41:41.945621
110,Jerron Peoples,4,3,0,0,"6' 0""",170 lbs.,73,,"May 04, 1982",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:41:45.978907
111,Raquel Pennington,9,8,0,0,"5' 7""",135 lbs.,67,Orthodox,"Sep 05, 1988",3.42,0.47,3.31,0.62,1.16,0.28,0.64,0.9,2018-11-21 19:41:49.413516
112,Justin Pennington,2,2,0,0,"5' 4""",,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:41:52.024514
113,Nick Penner,12,3,0,0,"6' 4""",205 lbs.,77,Southpaw,"Mar 26, 1980",1.25,0.3,4.6,0.38,0.0,0.0,0.4,0.0,2018-11-21 19:41:55.366323
114,Jessica Penne,12,6,0,0,"5' 5""",115 lbs.,67,,"Jan 30, 1983",2.46,0.33,4.73,0.48,1.58,0.25,0.2,0.6,2018-11-21 19:41:59.120398
115,BJ Penn,16,12,2,0,"5' 9""",145 lbs.,70,Orthodox,"Dec 13, 1978",2.71,0.49,3.12,0.56,1.24,0.55,0.75,0.5,2018-11-21 19:42:04.043102
116,Cathal Pendred,17,5,1,0,"6' 1""",170 lbs.,75,Orthodox,"Sep 02, 1987",2.49,0.44,3.01,0.55,2.46,0.23,0.83,0.4,2018-11-21 19:42:07.305733
117,Drew Pendleton,4,0,0,0,,145 lbs.,70,,"Dec 08, 1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:42:09.558492
118,Sherman Pendergarst,11,18,0,1,"6' 1""",235 lbs.,77,Orthodox,"Aug 01, 1967",1.23,0.36,3.08,0.16,4.62,1.0,0.0,0.0,2018-11-21 19:42:11.610904
119,Luis Pena,5,1,0,0,"6' 3""",155 lbs.,76,Southpaw,"Jul 05, 1993",1.67,0.28,3.13,0.46,1.62,0.2,0.4,0.8,2018-11-21 19:42:14.964136
120,Julianna Pena,9,3,0,0,"5' 6""",135 lbs.,69,,"Aug 19, 1989",2.95,0.52,1.2,0.44,2.79,0.52,0.22,1.2,2018-11-21 19:42:18.772891
121,Yan Pellerin,9,13,0,0,"5' 11""",205 lbs.,76,Orthodox,,0.59,0.25,0.89,0.66,4.43,1.0,0.0,0.0,2018-11-21 19:42:21.506852
122,Kurt Pellegrino,16,6,0,0,"5' 8""",155 lbs.,70,Orthodox,"May 07, 1979",2.45,0.43,1.94,0.63,2.9,0.54,0.69,0.8,2018-11-21 19:42:26.02271
123,Filip Pejic,10,2,1,0,"5' 8""",135 lbs.,70,Orthodox,"Jul 21, 1992",0.0,0.0,0.88,0.33,0.0,0.0,0.0,0.0,2018-11-21 19:42:28.445901
124,Willie Peeters,9,10,1,0,"5' 9""",220 lbs.,77,Orthodox,"Oct 26, 1965",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:42:32.827652
125,Tyson Pedro,7,2,0,0,"6' 3""",205 lbs.,79,Orthodox,"Sep 17, 1991",2.63,0.6,2.46,0.48,1.0,0.28,0.57,1.5,2018-11-21 19:42:35.84762
126,Matt Pedro,3,1,0,0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:42:39.611177
127,Carlo Pedersoli,11,2,0,0,"5' 11""",170 lbs.,75,Southpaw,"Jun 08, 1993",4.41,0.37,4.15,0.6,2.88,0.75,0.0,0.0,2018-11-21 19:42:43.438286
128,Andre Pederneiras,1,1,2,0,"5' 8""",155 lbs.,71,Orthodox,"Mar 22, 1967",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:42:48.121583
129,Ross Pearson,22,15,0,1,"5' 8""",155 lbs.,69,Orthodox,"Sep 26, 1984",3.67,0.4,4.04,0.62,0.75,0.36,0.75,0.0,2018-11-21 19:42:52.205293
130,Joe Pearson,38,17,1,0,"5' 10""",145 lbs.,70,Orthodox,"Mar 28, 1978",0.59,0.18,3.51,0.33,0.0,0.0,0.0,4.4,2018-11-21 19:42:55.990571
131,Roland Payne,0,1,0,0,"5' 9""",205 lbs.,76,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:42:57.987867
132,Sarah Payant,1,4,0,0,"5' 4""",115 lbs.,65,,,0.29,0.16,2.06,0.3,0.0,0.0,0.0,0.0,2018-11-21 19:43:01.732214
133,Estevan Payan,14,6,0,1,"5' 10""",145 lbs.,72,Orthodox,"Mar 14, 1982",4.25,0.42,3.58,0.57,0.36,1.0,0.6,0.4,2018-11-21 19:43:05.793967
134,Pawel Pawlak,11,2,0,0,"6' 0""",170 lbs.,73,Orthodox,"Feb 08, 1989",1.67,0.33,2.22,0.53,1.0,0.37,0.7,0.0,2018-11-21 19:43:10.150111
135,Sergei Pavlovich,12,0,0,0,"6' 3""",257 lbs.,0,Southpaw,"May 13, 1992",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:43:13.44018
136,Julio Paulino,17,4,0,0,"6' 0""",170 lbs.,73,Orthodox,"Dec 04, 1975",0.97,0.27,1.87,0.48,0.0,0.0,0.37,0.5,2018-11-21 19:43:15.971725
137,Justin Patterson,9,3,0,0,"5' 10""",170 lbs.,73,,"Dec 07, 1985",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:43:20.243542
138,Michael Patt,12,4,0,0,"6' 0""",205 lbs.,76,Orthodox,,1.65,0.28,5.53,0.55,0.0,0.0,0.0,0.0,2018-11-21 19:43:23.58889
139,Alan Patrick,15,2,0,0,"5' 11""",155 lbs.,74,Southpaw,"Jul 19, 1983",1.88,0.43,2.39,0.45,3.92,0.4,0.66,0.4,2018-11-21 19:43:27.605612
140,Claude Patrick,14,2,0,0,"5' 11""",170 lbs.,75,Orthodox,"Jun 14, 1980",1.8,0.55,0.89,0.69,2.32,0.53,0.84,1.7,2018-11-21 19:43:31.441354
141,Russell Patrick,6,4,0,0,"5' 9""",145 lbs.,70,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:43:35.350865
142,Jorge Patino,25,13,1,1,"5' 8""",170 lbs.,73,Orthodox,"Aug 05, 1973",1.33,0.3,3.14,0.53,0.54,0.25,0.5,0.0,2018-11-21 19:43:39.522297
143,Onassis Parungao,2,1,0,0,"5' 11""",200 lbs.,76,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-21 19:43:42.152756
